name,logo_url,industry,hq_location,homepage_url,total_funding,round_name,last_funding,top_3_investors,funding_date,cb_link,favorite,description
"CEEZER","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/uubda0obqapp4dsx72vb","Marketplace","Germany","https://www.ceezer.earth",16.3,"Series A",11.2,"Norrsken VC, Carbon Removal Partners, Picus Capital",25.01.2024,"https://www.crunchbase.com/organization/ceezer","false","CEEZER is a digital platform offering companies easy, secure, direct access to top-quality projects across the voluntary carbon market.","HV Capital"
"CloudTalk","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/rp20mtlxt17ypfkrr0hs","Software","Slovakia","https://www.cloudtalk.io/",36.7,"Series B",28,"Presto Ventures, henQ, Lead Ventures",17.01.2024,"https://www.crunchbase.com/organization/cloudtalk-io","false","Next-gen business calling software.","KPN Ventures"
"D2X Group","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/fekwradiwagcsjhkupgw","Blockchain","The Netherlands","https://d2x.com",16,"Series A",10,"Point72 Ventures, GSR, Flow Traders",14.03.2024,"https://www.crunchbase.com/organization/d2x-group","false","The Secure Gateway to Digital Assets.","Point72 Ventures"
"Daedalus","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/hvnxpcra0qkuqgsxhx3c","Manufacturing","Germany","https://daedalus.de/",41,"Series A",20.9,"Y Combinator, NGP Capital, Khosla Ventures",08.02.2024,"https://www.crunchbase.com/organization/daedalus-6017","false","Daedalus builds and operates the world's most advanced factories for precision components.","NGP Capital"
"DataSnipper","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/oi1wp6upvdiecczlywak","Software","The Netherlands","https://www.datasnipper.com",100,"Series B",100,"Insight Partners, Index Ventures,",01.02.2024,"https://www.crunchbase.com/organization/datasnipper","false","DataSnipper is a financial audit company that provides an AI-powered intelligent automation platform in Excel.","Index Ventures"
"Electra","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/tfikicfisbbuy7lojcmh","Infrastructure","France","https://www.go-electra.com",517.5,"Series B",332.7,"Eurazeo, Bpifrance, Frst",15.01.2024,"https://www.crunchbase.com/organization/electra-9c53","false","Electra is an electric vehicle charging company that specializes in deploying and operating charging points for electric vehicles.","Bpifrance"
"Embat","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/pyf7rub6uqqmgbcvmfub","Fintech","Spain","https://www.embat.io",23,"Series A",15.9,"Pleo, iZettle, Klarna",27.02.2024,"https://www.crunchbase.com/organization/embat","false","Embat automates treasury with AI for accounting, payments, and cash forecasting.","Creandum"
"Eye Security","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/bnavozwn6noixbcziyue","Cybersecurity","The Netherlands","https://eye.security",61.9,"Series B",39.4,"Bessemer Venture Partners, TIIN Capital, J.P. Morgan Growth",10.03.2024,"https://www.crunchbase.com/organization/eye-e4c4","false","Eye Security is a cybersecurity and InsurTech firm that provides cybersecurity measures for SMEs.","J.P. Morgan Growth"
"Filigran","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/grjg91jg0ew6a9v1brkm","Cybersecurity","France","https://filigran.io",21.7,"Series A",16.3,"Moonfire Ventures, CMA CGM Ventures, Accel",28.02.2024,"https://www.crunchbase.com/organization/filigran","false","Filigran is a cybersecurity company that develops an open-source threat intelligence management platform.","Accel"
"Finoa","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/glmig5owxgmam6kh2b48","Blockchain","Germany","https://finoa.io/",40.2,"Venture Round",8.2,"Maven 11 Capital, coparion, Middlegame Ventures",09.01.2024,"https://www.crunchbase.com/organization/finoa","false","Finoa is a regulated custodian for digital assets offering custody and staking services to institutional investors and corporations.","Balderton Capital"
"Finom","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/joxeuelr5clvrtukvpmd","Spend Management","The Netherlands","https://finom.co",108.6,"Series B",54.4,"Target Global,Entrée Capital, General Catalyst",17.01.2024,"https://www.crunchbase.com/organization/finom-e735","false","Finom provides financial solutions for entrepreneurs, self-employed, and freelancers.","General Catalyst"
"Flowdesk","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/cp7tuovomuuygdb08igx","Blockchain","France","https://flowdesk.co",80,"Series B",50,"Coinbase, Ripple, Impossible Finance",18.01.2024,"https://www.crunchbase.com/organization/flowdesk","false","Flowdesk is a crypto-financial service company building a trading infrastructure providing market-making services for web3 players.","Cathay Innovation"
"Flower Labs","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/c5qxwu8gbo0kd5epwkiu","AI Learning Framework","Germany","https://flower.dev",23.6,"Series A",20,"Betaworks, Y Combinator, Clement Delangue",15.02.2024,"https://www.crunchbase.com/organization/flower-1de8","false","Flower is a federated learning, analytics, and evaluation platform.","Felicis"
"General Index","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/gzxlrzwfamqmadxnfwv4","Index Provider","United Kingdom","http://www.general-index.com",21.1,"Series A",12.1,"The Twenty Minute VC, Chalfen Ventures,",01.02.2024,"https://www.crunchbase.com/organization/general-index","false","The new alternative to traditional Price Reporting Agencies. Founded in response to industry demand for more transparency within the market.","The Twenty Minute VC"
"Griffin","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/ctfathuunftznjn29dj4","Fintech","United Kingdom","https://griffin.com/",65.6,"Series A",24.4,"Seedcamp, Google for Startups, Notion Capital",11.03.2024,"https://www.crunchbase.com/organization/griffin-3","false","Griffin is a banking-as-a-service provider that helps companies build and launch financial services products.","Breega"
"Heart Aerospace","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/dhxkaffkgmo9dk0pnaxq","Electric Vehicles","Sweden","https://heartaerospace.com/",144.3,"Series B",107,"Breakthrough Energy Ventures, Mesa Air Group, Lowercarbon Capital",01.02.2024,"https://www.crunchbase.com/organization/heart-aerospace","false","Heart Aerospace is a Swedish startup making electric regional airplanes.","Breakthrough Energy Ventures"
"Hyperexponential","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/th5lhxyssojvpw7xol5i","Insurtech","United Kingdom","https://www.hyperexponential.com",91,"Series B",73,"Andreessen Horowitz, Highland Europe, Battery Ventures",11.01.2024,"https://www.crunchbase.com/organization/hyperexponential","false","Hyperexponential is a provider of pricing decision intelligence (PDI) software for the commercial insurance sector.","Battery Ventures"
"Imperia","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/t0ujpne3t1wxtdjz927i","Demand Planning","Spain","https://www.imperiascm.com",3.6,"Venture Round",3.3,"Maex Ament, Samaipata, All Iron Ventures",20.03.2024,"https://www.crunchbase.com/organization/imperia-e704","false","Software solution focused on the management and optimization of the demand planning and forecasting process. Make it easy!","Samaipata"
"Jow","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/wgkotlooulkkdb75msea","Food Delivery","France","https://www.jow.fr/",40.6,"Series A",13,"The Family, Eurazeo, Aglae Ventures",08.02.2024,"https://www.crunchbase.com/organization/jow","false","Jow automates grocery shopping based on recipes, directly adding items for pickup or delivery.","Northzone"
"Kiln","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/e3ysxa7r5reu1rfycfso","Blockchain","France","https://www.kiln.fi/",39.6,"Series A",17,"LBank, ConsenSys, GSR",18.01.2024,"https://www.crunchbase.com/organization/kiln-60d9","false","Kiln creates an enterprise-level pledge platform and provides one-click pledge services for encrypted assets.","1kx"
"Kinvent","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/xsxzu0rxnoluyjoxd6jn","Sports Hardware","France","http://www.k-invent.com",24.2,"Series B",17.4,"Eurazeo, Bpifrance, Les Business Angels des Grandes Ecoles",18.01.2024,"https://www.crunchbase.com/organization/kinvent","false","Assessment and training technologies in rehabilitation and sports biomechanics producing innovative measuring and medical device","Eurazeo"
"Kittl","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/q455oknupcadaqm9d146","Design Platform","Germany","https://www.kittl.com",49.7,"Series B",36,"Left Lane Capital, Joyance Partners, IVP",24.01.2024,"https://www.crunchbase.com/organization/heritage-type","false","Kittl is a design platform that allows creatives to create personal and commercial designs.","IVP"
"Lago","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/z6idkoznwmopqppzbndc","Billing Tool","France","http://www.getlago.com",22.1,"Series A",15,"SignalFire, Script Capital, Clement Delangue",14.03.2024,"https://www.crunchbase.com/organization/getlago","false","Open Source Billing API for Product-Led SaaS","FirstMark"
"Lapse","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/uzzslk4xkq0q9m4uo4wz","Social Media","United Kingdom","https://beta.lapse.app/",42.3,"Series A",30,"Octopus Ventures, Google Ventures, Redbus Ventures",27.02.2024,"https://www.crunchbase.com/organization/lapse","false","Lapse is a social disposable camera app.","Greylock"
"Metaview","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/iwntdretyj9yhsfh8l6f","Recruting","United Kingdom","https://www.metaview.ai",14.6,"Series A",7,"Barney Hussey, Seedcamp, Vertex Ventures",28.03.2024,"https://www.crunchbase.com/organization/metaview","false","The Recruiting Assistance Platform","Plural VC"
"Mindgram","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/p7mhkhfu5ov8wuu8brkv","Mental Wellness","Poland","https://mindgram.com/",12.6,"Series A",2.7,"Market One Capital, PortfoLion Capital Partners, Credo Ventures",14.02.2024,"https://www.crunchbase.com/organization/mindgram","false","Mindgram is a science-based platform and mobile app for complete mental wellness.","Smartlink Partners"
"Monta","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/kfy7adhfb3p6udxjtmxf","Electric Vehicles","Denmark","https://monta.com",139.9,"Series B",86.9,"Creandum, Energize Capital, Pale blue dot",23.01.2024,"https://www.crunchbase.com/organization/monta","false","Monta is the operating platform powering the EV charging ecosystem serving drivers, companies, cities, and the electricity grid.","GreenPoint Partners"
"Morressier","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/p6flyvfrgshyifjjobw2","Events Management","Germany","https://www.morressier.com",40.6,"Series B",16.4,"Molten Ventures, redalpine, Owl Ventures",23.01.2024,"https://www.crunchbase.com/organization/morressier","false","Morressier is your partner in early-stage and conference research, extending the value of your event long after it's over.","Molten Ventures"
"Multiverse","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/s1aynpel5zfgbw2n013o","Edtech","United Kingdom","https://www.multiverse.io",419,"Venture Round",5,"23andMe, Bond, General Catalyst",22.03.2024,"https://www.crunchbase.com/organization/whitehat","false","Multiverse is a tech startup that matches talent who have not graduated from college with apprenticeship opportunities.","General Catalyst"
"Necture","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/jy997scyfbpdw5glfrfx","Mobility","Austria","https://www.necture.com/",11.7,"Series A",6,"Verbund X Ventures, Speedinvest, IMPACT Accelerator",13.03.2024,"https://www.crunchbase.com/organization/parkbob","false","NECTURE empowers businesses to unlock the full potential of fleets, seamlessly bridging the gap between mobility and energy.","Verbund X Ventures"
"Neotaste","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/ndzwqtxxste1uuvv579o","Gastronomy","Germany","https://neotaste.app",22.9,"Series A",16.4,"Earlybird Venture Capital, Burda Principal Investments, Kajetan Uhlig",14.03.2024,"https://www.crunchbase.com/organization/neotaste","false","Neotaste is the developer of the restaurant-finding app that provides free marketing services for restaurateurs.","Earlybird Venture Capital"
"Neurescue","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/tqivnaabwwmm70juvj9x","Medical Devices","Denmark","http://www.neurescue.com/",10.9,"Series A",7.2,"Nina Capital, Seed Capital, West Hill Capital",02.02.2024,"https://www.crunchbase.com/organization/neurescue","false","Neurescue, a medical device manufacturer based in Denmark, is developing cardiovascular devices to help emergency patients.","West Hill Capital"
"Orbital Materials","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/nnt7zenq38q56vnmq0ga","Advanced Materials","United Kingdom","https://orbitalmaterials.com/",16,"Series A",16,"Radical Ventures, Compound, Toyota Ventures",21.02.2024,"https://www.crunchbase.com/organization/orbital-materials","false","Building novel solutions for clean air, water and energy with AI.","Radical Ventures"
"Paack","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/n0iaundsums4si281npq","Logistics","Spain","https://paack.co/",351.3,"Venture Round",10.8,"InfraVia Capital Partners, Unbound, BBVA",09.02.2024,"https://www.crunchbase.com/organization/paack-2","false","The most advanced tech-enabled delivery solution ensuring the best-in-class sustainable delivery experience.","Next Tech Fund"
"Packfleet","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/zofzmlvix3kalutqiuj5","Logistics","United Kingdom","https://packfleet.com/",22.1,"Series A",10.3,"Creandum, General Catalyst, Voyager Ventures",11.03.2024,"https://www.crunchbase.com/organization/packfleet","false","Zero carbon deliveries that feel like magic","General Catalyst"
"Packmatic","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/pyov5gvazrsuggy5rsqe","Supply Chain Management","Germany","https://www.packmatic.io/",16.3,"Series A",16.3,"xdeck, EQT Ventures, Christian Vollmann",24.01.2024,"https://www.crunchbase.com/organization/packmatic","false","Packmatic is a digital product packaging platform that sources packing solutions.","EQT Ventures"
"Photoroom","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/zbyeii0vw9ij2vreziou","Photo Editing","France","https://photoroom.com",62.1,"Series B",43,"Meta, Hugging Face, Y Combinator",27.02.2024,"https://www.crunchbase.com/organization/photoroom","false","Photoroom is an AI-enabled image capturing app that lets users create studio-quality product pictures in seconds.","Balderton Capital"
"Planet A Foods","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/pzazv3vsaf9lzwpqzx7u","Food and Beverage","Germany","https://planet-a-foods.com",43.3,"Series A",15.4,"World Fund, Cherry Ventures, Fifty Years",01.02.2024,"https://www.crunchbase.com/organization/qoa","false","Planet A Foods is a B2B sustainable ingredients company that specializes in the production of cocoa-free chocolate.","World Fund"
"Qdrant","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/yjyzdq1lrdqxwjmafg6o","Database","Germany","https://qdrant.tech",37.8,"Series A",28,"Unusual Ventures, IBB Ventures, 42CAP",23.01.2024,"https://www.crunchbase.com/organization/qdrant","false","Qdrant is an open-source vector search engine and database for next-generation AI applications.","Spark Capital"
"QphoX","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/wk41femvd2czbxv6zv9n","Quantum Computing","The Netherlands","https://www.qphox.eu/",11.1,"Venture Round",8.7,"European Innovation Council, Quantonation, HTGF | High-Tech Gruenderfonds",17.01.2024,"https://www.crunchbase.com/organization/qphox","false","QphoX builds quantum modem device, connecting quantum computers across a quantum network.","QDNL Participations"
"Rabot Charge","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/d0zoi1exzehu9ewqzbko","Electric Vehicles","Germany","https://www.rabot-charge.de/",23.7,"Series A",18.9,"All Iron Ventures, 9900 Capital, Yabeo",31.01.2024,"https://www.crunchbase.com/organization/rabot-charge","false","Rabot Charge offers charging management solutions for customers to charge their electric cars at home.","HV Capital"
"RobCo","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/bncxtyatxyo84nsjzpo3","Industrial Automation","Germany","https://www.robco.de/en",60.5,"Series B",43,"Sequoia Capital, Kindred Capital, Promus Ventures",26.02.2024,"https://www.crunchbase.com/organization/robco","false","Robotics to Solve Labor Shortage","Lightspeed Venture Partners"
"Sano Genetics","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/nlmnr9iqex0c9n6wtm8c","Biotech","United Kingdom","https://www.sanogenetics.com",26.5,"Series A",11.4,"Google for Startups, Seedcamp, Parkwalk Advisors",22.01.2024,"https://www.crunchbase.com/organization/heterogeneous","false","Sano Genetics is a molecular diagnostics company that specializes in developing and commercializing genetic tests for inherited diseases.","Plural Platform"
"SAPI","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/n2q6fqpqgqcs5bbm6k4d","Fintech","United Kingdom","http://sapi.com/",9.6,"Venture Round",9.6,"Fortress Investment Group, Passion Capital, Nadav Ben-Chanoch",12.03.2024,"https://www.crunchbase.com/organization/sapigroup","false","Our embedded finance loan-product-as-a-service enable payment companies and platforms to offer SME loan products to their business clients.","Passion Capital"
"Steadybit","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/pldxenzmk8nwn2lmhzrn","Developer Tools","Germany","https://www.steadybit.com/",13.8,"Series A",6,"boldstart ventures, Paladin Capital Group, Angular Ventures",11.03.2024,"https://www.crunchbase.com/organization/steadybit","false","Steadybit goes beyond Chaos Engineering. Organizations from eCommerce, SaaS, financial services and global enterprises choose Steadybit.","Paladin Capital Group"
"TheyDo","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/kzap08bxhr3rps70yrmv","Software","The Netherlands","https://www.theydo.com/",48.8,"Series A",33.8,"Steven Van Belleghem, Blossom Capital, The Twenty Minute VC",14.03.2024,"https://www.crunchbase.com/organization/theydo","false","TheyDo is a journey management platform designed to help companies with their journey mapping, frameworks and prioritization.","Blossom Capital"
"Transmutex SA","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/ey9d0myelfpbocd59qff","Energy","Switzerland","https://www.transmutex.com/",31.7,"Series A",23.2,"Verve Ventures, Union Square Ventures, Tiny VC",29.01.2024,"https://www.crunchbase.com/organization/transmutex","false","Transmutex will reduce stockpile of nuclear waste by 99% while producing profitable carbon-free energy.","Union Square Ventures"
"Vertice","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/kszhwadg4nqixpzuvxpk","Software Procurement","United Kingdom","https://www.vertice.one",51,"Series B",25,"83North, Bessemer Venture Partners, Tom Ryan",17.01.2024,"https://www.crunchbase.com/organization/vertice-9c2f","false","Vertice provides a SaaS purchasing solution that helps businesses save on their annual software expenditure.","Bessemer Venture Partners"
"VOI Technology","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/kba4ycywhaocmyi9ttdg","Mobility","Sweden","https://www.voi.com",540.6,"Venture Round",25,"Creandum, The Raine Group, Justin Mateen",12.03.2024,"https://www.crunchbase.com/organization/voi-technology","false","VOI Technology is a micro-mobility company that provides rental electric scooters for last-mile transportation.","The Raine Group"
"WealthKernel","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/thrywkfwg0lexlgg0nfh","Fintech","United Kingdom","http://www.wealthkernel.com/",21.5,"Series A",7.6,"Google for Startups, Seedcamp, XTX Ventures",24.01.2024,"https://www.crunchbase.com/organization/wealthkernel","false","WealthKernel is a supplier of infrastructure for companies looking to offer digital investment services.","ETFS Capital"
"Zen Educate","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/irt38e8h0ojwkjkzy7jv","Edtech","United Kingdom","http://www.zeneducate.com",71.5,"Series B",37,"Ascension Ventures, Brighteye Ventures, FJ Labs",21.02.2024,"https://www.crunchbase.com/organization/zen-educate","false","Zen Educate is an online platform to connect supply teachers with openings in schools.","Round2 Capital Partners"
"Agora","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/vipfmvb91hozkdil7vke","Real Estate","Israel","http://agorareal.com",63.9,"Series B",34,"Fusion, Aleph, RiverPark Ventures",16.05.2024,"https://www.crunchbase.com/organization/agora-real-estate-technologies","false","Agora offers a platform that enhances the efficiency of real estate investment management for partners, syndicators, and firms.","Qumra Capital"
"Aikido Security","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/cyqdryq0fvv9esabtqql","Cybersecurity","Belgium","https://aikido.dev",24.6,"Series A",17,"Michiel Bearelle, Notion Capital, Inovia Capital",01.05.2024,"https://www.crunchbase.com/organization/aikido-security","false","Aikido Security provides a unified platform for code and cloud security, simplifying vulnerability management for developers.","Singular"
"Amber Therapeutics","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/ngq5f2usny8nc3gkf51r","Biotechnology","United Kingdom","https://www.amber-tx.com/",103,"Series A",101.7,"Oxford Science Enterprises, F-Prime Capital, Innovate UK",10.06.2024,"https://www.crunchbase.com/organization/amber-therapeutics","false","Amber Therapeutics develops the next-generation of bioelectrical therapies.","New Enterprise Associates"
"apiday","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/csmrf24rwmphguarpwjl","ESG SaaS","France","https://apiday.com/",15.6,"Series A",10.7,"Revent, Daphni, AENU",25.04.2024,"https://www.crunchbase.com/organization/apiday","false","SaaS platform for corporate ESG data management: from regulatory compliance and investor reporting to sustainability certifications","Daphni"
"Apify","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/uny17tsjgtucsssntmsp","Enterprise Software","Czech Republic","https://apify.com",3.5,"Venture Round",3,"Y Combinator, Reflex Capital, J&T Ventures",15.04.2024,"https://www.crunchbase.com/organization/apify","false","Apify is a web scraping and browser automation platform that can turn any website into an API.","J&T Ventures"
"Badi","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/cm9vmakbfqohol7dcpbg","Real Estate","Spain","https://www.badi.com",54.4,"Venture Round",5.4,"Target Global, Santander, Mangrove Capital Partners",10.06.2024,"https://www.crunchbase.com/organization/badi","false","Badi is an online platform that facilitates room rentals, enabling users to both publish and find available spaces.","Barlon Capital"
"Bling.de","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/emlgxtmfyngp588zeuiy","Edtech","Germany","https://bling.de",15.7,"Series A",12,"La Famiglia, Owl Ventures, Peak",27.06.2024,"https://www.crunchbase.com/organization/bling-services-gmbh","false","Among Germany's fastest growing fintechs, Bling is reinventing Retail-Banking for families.","Owl Ventures"
"Caeli Wind","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/ewivfkiamr5596n8lwsf","Wind Energy","Germany","https://www.caeli-wind.de/start",15.2,"Series A",12,"Notion Capital, HTGF | High-Tech Gruenderfonds, Santander Climate Tech Fund",16.05.2024,"https://www.crunchbase.com/organization/caeli-wind","false","Digital marketplace that identifies wind potential locations for landowners and enables professional AI-supported analysis and marketing.","Notion Capital"
"Carbonfact","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/pm1tblmdl1tkccat75sa","E-commerce","France","http://www.carbonfact.com",17.1,"Series A",15,"Y Combinator, Headline, Alven",30.04.2024,"https://www.crunchbase.com/organization/carbonfact","false","Fast, scalable life-cycle assessments to help fashion brands lower their scope 3 emissions.","Alven"
"Centrifuge","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/tubhjvoqvygvphivd910","Blockchain","Switzerland","http://www.centrifuge.io/",30.8,"Series A",15,"Arrington Capital, BlockTower Capital, Greenfield",17.04.2024,"https://www.crunchbase.com/organization/centrifuge","false","Centrifuge is the platform for tokenized real-world assets onchain.","Greenfield"
"Climate X","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/pt20eui7qaqqlfsfnu6h","Fintech","United Kingdom","https://www.climate-x.com/",24.6,"Series A",17.7,"Deloitte, Western Technology Investment, Google Ventures",26.06.2024,"https://www.crunchbase.com/organization/climate-x","false","A global climate risk data analytics company.","Google Ventures"
"Condense","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/rvriz5rrwvps9tyu1aq4","Metaverse","United Kingdom","https://www.condense.live/",6.3,"Venture Round",0.6,"BBC Ventures, SFC Capital, 7percent Ventures",18.06.2024,"https://www.crunchbase.com/organization/condense-reality","false","Condense transforms stream real-world 3D events live into any video game built on Unity or Unreal.","BBC Ventures"
"Cylib","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/bx6jtrjy5xazgxpnw1md","Cleantech","Germany","https://www.cylib.de/",71.9,"Series A",59.9,"NRW.BANK, World Fund, Bosch Ventures",15.05.2024,"https://www.crunchbase.com/organization/cylib-gmbh","false","Cylib is a start-up for holistic battery recycling","Porsche Ventures"
"DeepL","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/aw6ilxgl35bkfkmxw3vv","Machine Learning","Germany","http://www.deepl.com",400,"Venture Round",300,"ICONIQ Growth, WiL (World Innovation Lab), Teachers Venture Growth",22.05.2024,"https://www.crunchbase.com/organization/linguee","false","DeepL is a deep-learning  company that specializes in language translation.","Index Ventures"
"Deltablock","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/r8ahvagvmh0hndoevb9a","Fintech","France","https://www.deltablock.io/",1.3,"Venture Round",1.3,"Entrepreneur First, Index Ventures, Blast.club",02.05.2024,"https://www.crunchbase.com/organization/deltablock","false","DeltaBlock helps mid-size exchange-listed companies gain visibility in the stock market","Blast.club"
"Delta Green","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/tciz3k2owfum3xu6wmv8","Greentech","Czech Republic","https://www.deltagreen.cz/",2.4,"Venture Round",2.4,"Purple Ventures, Tilia Impact Ventures, Credo Ventures",27.05.2024,"https://www.crunchbase.com/organization/delta-green-0f65","false","Aggregating household assets in large controllable block of flexibility.","Tilia Impact Ventures"
