name,logo_url,industry,hq_location,homepage_url,total_funding,round_name,last_funding,top_3_investors,funding_date,cb_link,favorite,description
"Cradle","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/yqywng5l48oud0gsvh0g","Biotechnology","Switzerland","https://cradle.bio",29.7,"Series A",24,"Kindred Capital, Index Ventures, Thomas Glocer",28.11.2023,"https://www.crunchbase.com/organization/cradle-0c4f","false","Cradle is a biotech company that uses prediction algorithms and AI design recommendations to assist biologists in designing proteins.","Index Ventures"
"Defacto","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/bcwskdpmgampcjd8ttxh","Fintech","France","https://www.getdefacto.com",219.8,"Series A",10.9,"Citi, Citi Ventures, Thibaud Elziere",14.11.2023,"https://www.crunchbase.com/organization/defacto-588a","false","Defacto is a fintech firm that offers short term financing for small and medium companies via an embedded, API-first approach.","Northzone"
"doctorly","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/wb5y4qapvrtxrenreiyd","Healthcare","Germany","http://www.doctorly.de",22.7,"Series A",7.1,"WELL Health Technologies, Target Global, Google for Startups",09.11.2023,"https://www.crunchbase.com/organization/doctorly","false","Doctorly is a health tech company that offers a cloud-based practice management platform for doctors.","Simon Capital"
"Flanks","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/yu4qjzmr4m3w4bm9jemz","Fintech","Spain","https://www.flanks.io/",10.7,"Series A",7.8,"Earlybird Venture Capital, JME Ventures, 4Founders Capital",18.10.2023,"https://www.crunchbase.com/organization/flanks","false","Flanks is a Spanish company specialized in providing comprehensive solutions of high added value based on financial data.","Earlybird Venture Capital"
"Fracttal","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/wd8bhbzkkbamdvrd8w1d","SaaS","Spain","http://www.fracttal.com",17.4,"Series B",10,"Seaya, Start-Up Chile, Kayyak Ventures",30.10.2023,"https://www.crunchbase.com/organization/fracttal","false","Fracttal is a predictive maintenance and asset management software (CMMS/GMAO/EAM), 100% mobile, IoT enabled and fully cloud-based.","Kayyak Ventures"
"HappyPal","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/ksfyjdhtlkhng1ckarsf","Fintech","France","https://happypal.fr",9.6,"Series A",7.6,"Educapital, Anthemis",21.11.2023,"https://www.crunchbase.com/organization/happypal","false","HappyPal reinvents employee perks with a SaaS and Payment solution","Educapital"
"Hivebrite","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/j4byt9hamc8ajggeklm1","Education","France","https://hivebrite.io",60.4,"Series B",36.9,"Quadrille Capital, Insight Partners, Edward Filippi",18.10.2023,"https://www.crunchbase.com/organization/hivebrite","false","Hivebrite is a community engagement platform that provides tools for building, managing, and engaging communities.","Quadrille Capital"
"Lanes & Planes","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/idswzddlrqluzfi2lkmx","SaaS","Germany","https://www.lanes-planes.com",45,"Series B",35,"Smash Capital, All Iron Ventures, Flixfounders",16.10.2023,"https://www.crunchbase.com/organization/tripclick-pro","false","Lanes & Planes is the Travel Management solution as Software-as-a-Service that truly maps all areas of the business travel in a digital way.","Smash Capital"
"Lassie","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/tdbsoqpvsudmmuvytkdi","Insurtech","Sweden","https://www.lassie.co/",39.9,"Series B",25.3,"Inventure, Passion Capital, Philian Invest",28.11.2023,"https://www.crunchbase.com/organization/lassie","false","Lassie is a pet insurance company that offers digital pet insurance services to reduce the risk of pet injury.","Balderton Capital"
"Lottie","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/rma0o5qjkoze0znui8yn","Elder Care","United Kingdom","https://lottie.org/",31.5,"Series A",20,"Kindred Capital, General Catalyst, Cold Start Ventures",09.10.2023,"https://www.crunchbase.com/organization/lottie-88ed","false","Lottie is to empower care seekers and to lead the global transformation to modern and sustainable care.","Accel"
